PALAVRA,PRONUNCIA,TRADUCAO
THE,DHÂ,"['O, A, OS, AS']"
OF,ÂV,['DE']
TO,TUU,['PARA']
AND,ÉND,['E']
A,Â,"['UM, UMA']"
IN,ÊN,"['EM, DENTRO']"
IS,ÊS,['É']
IT,ÊT,['ESTE']
YOU,YUU,['VOCÊ']
THAT,DHÉT,"['QUE, AQUELE']"
HE,RRII,['ELE']
WAS,UÓS,"['ERA, ESTAVA']"
FOR,FÓR,"['POR, PARA']"
ON,ÓN,['EM']
ARE,AR,"['SÃO, ESTÃO']"
WITH,UÊDH,['COM']
AS,ÉS,"['COMO, ENQUANTO']"
I,AI,['EU']
HIS,RRÊS,['SEU']
THEY,DHEI,['ELES']
BE,BII,"['SER, ESTAR']"
AT,ÉT,['EM']
ONE,UÂN,['UM']
HAVE,RRÉV,['TER']
THIS,DHÊS,['ESTE']
FROM,FRÂM,['DE']
OR,ÓR,['OU']
HAD,RRÉD,['TINHA']
BY,BAI,"['POR, EM']"
HOT,RRAT,['QUENTE']
WORD,UÂD,['PALAVRA']
BUT,BÂT,['MAS']
WHAT,UÓT,['O-QUE']
SOME,SÂM,['ALGUM']
WE,UII,['NÓS']
CAN,KÉN,"['PODE, LATA']"
OUT,AUT,['FORA']
OTHER,ÂDHÂR,['OUTRO']
WERE,UÂR,"['ERAM, ESAVAM']"
ALL,ÓL,['TODO']
THERE,THÉR,['LÁ']
WHEN,UEN,['QUANDO']
UP,ÂP,['PARA-CIMA']
USE,IUZ,['USAR']
YOUR,YÓR,['SEU']
HOW,RRÁU,"['COMO, QUÃO']"
SAID,SÉD,['DISSE']
AN,ÉN,"['UM, UMA']"
EACH,IICH,['CADA']
SHE,SHII,['ELA']
WHICH,UÊTCH,['QUAL']
DO,DUU,"['FAZER, MESMO']"
THEIR,THÉR,['SEUS']
TIME,TAIM,"['TEMPO, HORA']"
IF,ÊF,['SE']
WILL,UÊL,"['VAI, VONTADE']"
WAY,UEI,"['CAMINHO, JEITO']"
ABOUT,ÂBAUT,"['SOBRE, QUASE']"
MANY,MÉNI,['MUITOS']
THEN,DHÊN,['ENTÃO']
THEM,DHÊM,['DELES']
WRITE,RAIT,['ESCREVER']
WOULD,UÔD,['DEVERIA']
LIKE,LAIK,"['COMO, GOSTAR']"
SO,SÔU,"['ASSIM, TÃO']"
THESE,DHIIZ,['ESTES']
HER,RRÂR,['DELA']
LONG,LÓNG,['LONGO']
MAKE,MEIK,['FAZER']
THING,THÊNG,['COISA']
SEE,SII,['VER']
HIM,RRÊM,['DELE']
TWO,TUU,"['DOIS, DUAS']"
HAS,RRÉS,['TEM']
LOOK,LÔK,['OLHAR']
MORE,MÓR,['MAIS']
DAY,DEI,['DIA']
COULD,CÔD,['PODERIA']
GO,GÔU,['IR']
COME,CÂM,['VIR']
DID,DÊD,"['FEZ, MESMO']"
NUMBER,NÂMBÂR,['NÚMERO']
SOUND,SAUND,['SOM']
NO,NOU,['NÃO']
MOST,MOUST,"['MAIS, MAIOR']"
PEOPLE,PIIPÂL,"['PESSOAS, POVO']"
MY,MAI,['MEU']
OVER,OUVÂR,"['SOBRE, ACIMA-DE']"
KNOW,NOU,['SABER']
WATER,UÓTTÂR,['ÁGUA']
THAN,DHÉN,['QUE']
CALL,CÓL,['CHAMAR']
FIRST,FÂRST,['PRIMEIRO']
WHO,RRUU,['QUE']
MAY,MEI,"['MAIO, PODE']"
DOWN,DAUN,['BAIXO']
SIDE,SAID,['LADO']
BEEN,BÊN,"['SIDO, ESTADO']"
NOW,NAU,['AGORA']
FIND,FAIND,['ENCONTRAR']
ANY,ÉNI,['QUALQUER']
NEW,NUU,['NOVO']
WORK,UÂRK,['TRABALHO']
PART,PART,['PARTE']
TAKE,TEIK,['PEGAR']
GET,GHÉT,['FICAR']
PLACE,PLEIS,['LUGAR']
MADE,MEID,['FEITO']
LIVE,"LÊV, LAIV","['VIVER, VIVO']"
WHERE,UÉR,['ONDE']
AFTER,ÉFTÂR,['APÓS']
BACK,BÉK,"['ATRÁS, COSTAS']"
LITTLE,LÊTTÂL,"['PEQUENO, POUCO']"
ONLY,OUNLI,['SOMENTE']
ROUND,RAUND,"['REDONDO, RODADA']"
MAN,MÉN,['HOMEM']
YEAR,YIIR,['ANO']
CAME,KEIM,['CHEGADO']
SHOW,SHOU,['MOSTRAR']
EVERY,EVRI,['CADA']
GOOD,GÔD,['BOM']
ME,MII,"['ME, EU']"
GIVE,GHÊV,['DAR']
OUR,AR,['NOSSO']
UNDER,ÂNDÂR,['SOB']
NAME,NEIM,['NOME']
VERY,VÉRI,"['MUITO, ABSOLUTO']"
THROUGH,THRUU,['ATRAVÉS-DE']
JUST,JÂST,"['JUSTO, SÓ']"
FORM,FÓRM,"['FORMA, FORMULÁRIO']"
SENTENCE,SÊNTÂNS,['SENTENÇA']
GREAT,GREIT,"['ÓTIMO, EXCELENTE, GRANDE']"
THINK,THÊNK,['PENSAR']
SAY,SEI,['DIZER']
HELP,RRÊLP,['AJUDAR']
LOW,LOU,['BAIXO']
LINE,LAIN,"['LINHA, FILA']"
DIFFER,DÊFÂR,['DIFERIR']
TURN,TÂRN,"['TORNAR, VEZ']"
CAUSE,CÓZ,['CAUSA']
MUCH,MÂTCH,['MUITO']
MEAN,MIIN,"['MEIO, SIGNIFICAR']"
BEFORE,BÊFÓR,['ANTES']
MOVE,MUUV,['MOVIMENTO']
RIGHT,RAIT,['DIREITO']
BOY,BÓI,['GAROTO']
OLD,OULD,['VELHO']
TOO,TUU,['TAMBÉM']
SAME,SEIM,['MESMO']
TELL,TÊL,['CONTAR']
DOES,DÂZ,"['FAZ, MESMO']"
SET,SÊT,"['CONJUNTO, FIXAR']"
THREE,THRII,['TRÊS']
WANT,UÂNT,['QUERER']
AIR,ÉR,['AR']
WELL,UEL,"['BEM, POÇO']"
ALSO,ÓLSOU,['TAMBÉM']
PLAY,PLEI,"['PEÇA, TOCAR']"
SMALL,SMÓL,['PEQUENO']
END,ÊND,"['FIM, FINALIZAR']"
PUT,PÔT,['POR']
HOME,RROUM,['CASA']
READ,RIID,"['LER, LIDO']"
HAND,RRÉND,['MÃO']
PORT,PÓRT,['PORTO']
LARGE,LARJ,['GRANDE']
SPELL,SPÊL,"['SOLETRAR, ENCANTO']"
ADD,ÉD,['ADICIONAR']
EVEN,IIVÂN,['MESMO']
LAND,LÉND,['TERRA']
HERE,RRIIR,['AQUI']
MUST,MÂST,['DEVER']
BIG,BÊG,['GRANDE']
HIGH,RRAI,['ALTO']
SUCH,SÂTCH,['TAL']
FOLLOW,FALOU,['SEGUIR']
ACT,ÉKT,"['ATO, AGIR']"
WHY,UAI,['POR-QUE']
ASK,ÉSK,"['PEDIR, PERGUNTAR']"
MEN,MÊN,['HOMENS']
CHANGE,TCHEINJ,['MUDAR']
WENT,UENT,['FOI']
LIGHT,LAIT,"['LEVE, LUZ']"
KIND,KAIND,"['BOM, TIPO']"
OFF,ÓF,"['POR, DESLIGADO']"
NEED,NIID,['PRECISAR']
HOUSE,RRAUS,['CASA']
PICTURE,PÊKTCHÂR,"['FOTO, FILME']"
TRY,TRAI,['TENTAR']
US,ÂS,['NOS']
AGAIN,ÂGHEIN,['DE-NOVO']
ANIMAL,ÉNÂMÂL,['ANIMAL']
POINT,POINT,['PONTO']
MOTHER,MÂDHÂR,['MÃE']
WORLD,UÂRLD,['MUNDO']
NEAR,NIIR,['PERTO']
BUILD,BÊLD,['CONSTRUIR']
SELF,SELF,"['PRÓPRIO, EGO']"
EARTH,ÂRTH,['TERRA']
FATHER,FÓDHÂR,['PAI']
HEAD,RRED,['CABEÇA']
STAND,STÉND,"['PERMANECER, DE-PÉ, BANCA']"
OWN,OUN,['PRÓPRIO']
PAGE,PEIJ,['PÁGINA']
SHOULD,SHÔD,['DEVERIA']
COUNTRY,CÂNTRI,['PAÍS']
FOUND,FAUND,"['ENCONTRADO, FUNDAR']"
ANSWER,ÉNSÂR,['RESPOSTA']
SCHOOL,SKOOL,['ESCOLA']
GROW,GROU,['CRESCER']
STUDY,STÂDI,['ESTUDO']
STILL,STÊL,"['ATÉ, CALMO']"
LEARN,LÂRN,['APRENDER']
PLANT,PLÉNT,"['PLANTA, FÁBRICA']"
COVER,CÂVÂR,['COBRIR']
FOOD,FUUD,['COMIDA']
SUN,SÂN,['SOL']
FOUR,FÓR,['QUATRO']
BETWEEN,BITUIIN,['ENTRE']
STATE,STEIT,['ESTADO']
KEEP,KIIP,['GUARDAR']
EYE,AI,['OLHO']
NEVER,NEVÂR,['NUNCA']
LAST,LÉST,"['ÚLTIMO, DURAR']"
LET,LET,['DEIXAR']
THOUGHT,THÓT,"['PENSAMENTO, PENSADO']"
CITY,CÊTTI,['CIDADE']
TREE,TRII,['ÁRVORE']
CROSS,CRÓS,"['CRUZ, CRUZAR']"
FARM,FARM,['FAZENDA']
HARD,RRARD,['DURO']
START,START,['COMEÇAR']
MIGHT,MAIT,"['PODER, PODERIA']"
STORY,STÓRI,"['ESTÓRIA, ANDAR(PRÉDIO)']"
SAW,SÓ,"['VIU, SERRA']"
FAR,FAR,['LONGE']
SEA,SII,['MAR']
DRAW,DRÓ,"['ARRASTAR, EMPATE']"
LEFT,LEFT,"['ESQUERDA, DEIXADO']"
LATE,LEIT,['TARDE']
RUN,RÂN,['CORRER']
DON'T,DOUNT,['NÃO']
WHILE,UAIL,['ENQUANTO']
PRESS,PRES,"['PRESSÃO, IMPRENSA']"
CLOSE,CLOUS,['FECHAR']
NIGHT,NAIT,['NOITE']
REAL,RIIL,['REAL']
LIFE,LAIF,['VIDA']
FEW,FIU,['ALGUNS']
NORTH,NÓRTH,['NORTE']
OPEN,OUPÂN,['ABERTO']
SEEM,SIIM,['PARECER']
TOGETHER,TÂGHEDHÂR,['JUNTOS']
NEXT,NEXT,['PRÓXIMO']
WHITE,UAIT,['BRANCO']
CHILDREN,TCHÊLDRÂN,['CRIANÇAS']
BEGIN,BÊGHÊN,['COMEÇAR']
GOT,GAT,['FICADO']
WALK,UÓK,['ANDAR']
EXAMPLE,IGZÉMPÂL,['EXEMPLO']
EASE,IIZ,['FACILITAR']
PAPER,PEIPÂR,['PAPEL']
GROUP,GRUP,['GRUPO']
ALWAYS,ÓLUÊZ,['SEMPRE']
MUSIC,MIUZÊK,['MÚSICA']
THOSE,DHOUZ,['AQUELES']
BOTH,BOUTH,['AMBOS']
MARK,MARK,['MARCAR']
OFTEN,ÓFÂN,['MUITAS-VEZES']
LETTER,LETTÂR,"['LETRA, CARTA']"
UNTIL,ÂNTÊL,['ATÉ']
MILE,MAIL,['MILHA']
RIVER,RÊVÂR,['RIO']
CAR,CAR,['CARRO']
FEET,FIIT,['PÉS']
CARE,KÉR,['CUIDADO']
SECOND,SECÂND,['SEGUNDO']
BOOK,BÔK,['LIVRO']
CARRY,KÉRI,['CARREGAR']
TOOK,TÔK,['PEGO']
SCIENCE,SAINS,['CIÊNCIA']
EAT,IIT,['COMER']
ROOM,RUUM,"['CÔMODO, QUARTO']"
FRIEND,FREND,['AMIGO']
SIGHT,SAIT,['VISÃO']
BEGAN,BÊGÉN,['COMEÇADO']
IDEA,AIDIIA,['IDÉIA']
FISH,FÊSH,"['PEIXE, PESCAR']"
MOUNTAIN,MAUNTÂN,['MONTANHA']
STOP,STAP,['PARAR']
ONCE,UÂNS,['UMA-VEZ']
BASE,BEIS,['BASE']
HEAR,RRIIR,['OUVIR']
HORSE,RRÓRS,['CAVALO']
CUT,CÂT,['CORTAR']
SURE,SHÔR,['CERTO']
WATCH,UÓTCH,"['ASSISTIR, RELÓGIO']"
COLOR,CÂLÂR,"['COR, COLORIR']"
FACE,FEIS,['ROSTO']
WOOD,UÔD,['MADEIRA']
MAIN,MEIN,['PRINCIPAL']
ENOUGH,INÂF,['BASTANTE']
PLAIN,PLEIN,"['PLANO, SIMPLES']"
GIRL,GÂRL,['GAROTA']
USUAL,IUZHUÂL,"['USUAL, COMUM']"
YOUNG,YÂNG,['JOVEM']
READY,RIIDI,['PRONTO']
ABOVE,ÂBÂV,['ACIMA']
EVER,EVÂR,"['SEMPRE, JÁ']"
RED,RED,['VERMELHO']
LIST,LÊST,['LISTA']
THOUGH,THOU,['APESAR-DE']
FEEL,FIIÓL,"['SENTIR, SENTIMENDO']"
TALK,TÓK,['CONVERSAR']
BIRD,BÂRD,['PÁSSARO']
SOON,SUUN,['LOGO']
BODY,BADDI,['CORPO']
DOG,DÓG,['CACHORRO']
FAMILY,FÉMÂLI,['FAMÍLIA']
DIRECT,DÂREKT,['DIRETO']
POSE,POUZ,['POSIÇÃO']
LEAVE,LIIV,['DEIXAR']
SONG,SÓNG,['CANÇÃO']
MEASURE,MEJÂR,['MEDIDA']
DOOR,DÓR,['PORTA']
PRODUCT,PRADÂKT,['PRODUTO']
BLACK,BLÉK,['NEGRO']
SHORT,SHÓRT,['CURTO']
NUMERAL,NUUMÂRÂL,['NUMERAL']
CLASS,CLÉS,['CLASSE']
WIND,UÊND,['VENTO']
QUESTION,QUÉSCHÂN,"['QUESTÃO, PERGUNTA']"
HAPPEN,RRÉPÂN,['ACONTECER']
COMPLETE,CÂMPLIIT,['COMPLETO']
SHIP,SHÊP,"['NAVIO, EMBARCAR']"
AREA,ÉRIIÂ,['ÁREA']
HALF,RRÉF,['METADE']
ROCK,RAK,"['ROQUE, ROCHA']"
ORDER,ÓRDÂR,"['ORDEM, PEDIDO']"
FIRE,FAIR,"['FOGO, INCÊNDIO, DESPEDIR']"
SOUTH,SAUTH,['SUL']
PROBLEM,PRABLÂM,['PROBLEMA']
PIECE,PIIS,"['PEÇA, PEDAÇO']"
TOLD,TOULD,['CONTADO']
KNEW,NUU,['SABIDO']
PASS,PÉS,['PASSAR']
SINCE,SÊNS,['DESDE']
TOP,TAP,"['TOPO, PRINCIPAL']"
WHOLE,RROUL,['INTEIRO']
KING,KÊNG,['REI']
SPACE,SPEIS,['ESPAÇO']
HEARD,RRÂRD,['OUVIDO']
BEST,BEST,['MELHOR']
HOUR,AUR,['HORA']
BETTER,BETTÂR,['MELHOR']
TRUE,TRUU,['VERDADEIRO']
DURING,DUURÊNG,['DURANTE']
HUNDRED,RRÂNDRÂD,['CEM']
FIVE,FAIV,['CINCO']
REMEMBER,RIMEMBÂR,['LEMBRAR']
STEP,STEP,['PASSO']
EARLY,ÂRLI,['CEDO']
HOLD,RROULD,['GUARDAR']
WEST,UEST,['OESTE']
GROUND,GRAUND,"['TERRA, AMOLADO']"
INTEREST,ÊNTRÂST,"['INTERESSE, JUROS']"
REACH,RIITCH,['ALCANÇAR']
FAST,FÉST,['RÁPIDO']
VERB,VÂRB,['VERBO']
SING,SÊNG,['CANTAR']
LISTEN,LÊSSÂN,['OUVIR']
SIX,SÊKS,['SEIS']
TABLE,TEIBÂL,"['MESA, TABELA']"
TRAVEL,TRÉVÂL,['VIAJAR']
LESS,LES,['MENOS']
MORNING,MÓRNÊN,['MANHÃ']
TEN,TEN,['DEZ']
SIMPLE,SÊMPÂL,['SIMPLES']
SEVERAL,SEVRÂL,['VÁRIOS']
VOWEL,VAUL,['VOGAL']
TOWARD,TUUARD,['PARA']
WAR,UAR,['GUERRA']
LAY,LEI,"['DEITAR, AMADOR']"
AGAINST,ÂGHENST,['CONTRA']
PATTERN,PÉTTÂRN,['PADRÃO']
SLOW,SLOU,['DEVAGAR']
CENTER,CENTÂR,['CENTRO']
LOVE,LÂV,"['AMOR, AMAR']"
PERSON,PÂRSÂN,['PESSOA']
MONEY,MÂNI,['DINHEIRO']
SERVE,SÂRV,['SERVIR']
APPEAR,ÂPIIR,['APARECER']
ROAD,ROUD,['ESTRADA']
MAP,MÉP,['MAPA']
RAIN,REIN,['CHUVA']
RULE,RUUL,"['RÉGUA, REGRA']"
GOVERN,GÂVÂRN,['GOVERNAR']
PULL,PÔL,['PUXAR']
COLD,COULD,['FRIO']
NOTICE,NOTTÂS,['AVISO']
VOICE,VOIS,['VOZ']
UNIT,IUNÂT,['UNIDADE']
POWER,PAUÂR,"['PODER, FORÇA']"
TOWN,TAUN,['MUNICIPAL']
FINE,FAIN,"['BOM, EXCELENTE']"
CERTAIN,SÂRTÂN,['CERTO']
FLY,FLAI,"['VOAR, MOSCA']"
FALL,FÓL,"['CAIR, QUEDA, OUTONO']"
LEAD,LIID,"['LEVAR, CHUMBO']"
CRY,CRAI,"['CHORO, CHORAR']"
DARK,DARK,['ESCURO']
MACHINE,MÂSHIIN,['MÁQUINA']
NOTE,NOUT,['ANOTAR']
WAIT,UEIT,['ESPERAR']
PLAN,PLÉN,['PLANO']
FIGURE,FÊGHIÂR,"['FIGURA, IMAGINAR']"
STAR,STAR,['ESTRELA']
BOX,BAKS,['CAIXA']
NOUN,NAUN,['SUBSTANTIVO']
FIELD,FIILD,['CAMPO']
REST,REST,"['RESTO, DESCANSO']"
CORRECT,CÂREKT,['CORRETO']
ABLE,EIBÂL,['CAPAZ']
POUND,PAUND,['LIBRA']
DONE,DÂN,['FEITO']
BEAUTY,BIUTTI,['BELEZA']
DRIVE,DRAIV,"['DIREÇÃO, DIRIGIR']"
STOOD,STUD,['PERMANECIDO']
CONTAIN,CÂNTEIN,['CONTER']
FRONT,FRÂNT,['FRENTE']
TEACH,TIITCH,['ENSINAR']
WEEK,UIIK,['SEMANA']
FINAL,FAINÂL,['FINAL']
GAVE,GHEIV,['DADO']
GREEN,GRIIN,['VERDE']
OH,OU,['Ó']
QUICK,QUÊK,['RÁPIDO']
DEVELOP,DÊVELÂP,['DESENVOLVER']
OCEAN,OUSHÂN,['OCEANO']
WARM,UÓRM,['QUENTE']
FREE,FRII,"['LIVRE, GRÁTIS']"
MINUTE,MÊNÂT,['MINUTO']
STRONG,STRÓNG,['FORTE']
SPECIAL,SPESHÂL,['ESPECIAL']
MIND,MAIND,"['MENTE, IMPORTAR-SE']"
BEHIND,BÊRRAIND,['ATRÁS']
CLEAR,CLIIR,['CLARO']
TAIL,TEIL,['RABO']
PRODUCE,PRÂDUS,['PRODUÇÃO']
FACT,FÉKT,['FATO']
STREET,STRIIT,['RUA']
INCH,ÊNTCH,['POLEGADA']
MULTIPLY,MÂLTÂPLAI,['MULTIPLICAR']
NOTHING,NÂTHÊNG,['NADA']
COURSE,CÓRS,['CURSO']
STAY,STEI,['FICAR']
WHEEL,UIIL,['RODA']
FULL,FÔL,['CHEIO']
FORCE,FÓRS,"['FORÇA, FORÇAR']"
BLUE,BLUU,['AZUL']
OBJECT,ÂBJÊKT,['OBJETO']
DECIDE,DÊSAID,['DECIDIR']
SURFACE,SÂRFÂS,['SUPERFICIE']
DEEP,DIIP,['PROFUNDO']
MOON,MUUN,['LUA']
ISLAND,AILÂND,['ILHA']
FOOT,FUUT,['PÉ']
SYSTEM,SÊSTÂM,['SISTEMA']
BUSY,BÊZI,['OCUPADO']
TEST,TEST,['TESTE']
RECORD,RECÂRD,"['RECORDE, GRAVAR, REGISTRO']"
BOAT,BOUT,['BARCO']
COMMON,CAMÂN,['COMUM']
GOLD,GOULD,['OURO']
POSSIBLE,PASÂBÂL,['POSSÍVEL']
PLANE,PLEIN,['AVIÃO']
STEAD,STED,['LOCAL']
DRY,DRAI,['SECO']
WONDER,UÂNDÂR,['ADMIRAR']
LAUGH,LÉF,['RIR']
THOUSAND,THAUZÂND,['MIL']
AGO,ÂGOU,['ATRÁS']
RAN,RÉN,['CORRIDO']
CHECK,TCHEK,"['CHEQUE, CHECAGEM']"
GAME,GHEIM,['JOGO']
SHAPE,SHEIP,['FORMA']
EQUATE,IIQUEIT,['EQUACIONAR']
MISS,MÊS,"['SENTIR, SENHORITA']"
BROUGHT,BRÓT,['TRAZIDO']
HEAT,RRIIT,['CALOR']
SNOW,SNOU,['NEVE']
TIRE,TAIR,"['PNEU, CANSAR']"
BRING,BRÊNG,['TRAZER']
YES,YES,['SIM']
DISTANT,DÊSTÂNT,['DISTANTE']
FILL,FÊL,['ENCHER']
EAST,IIST,['LESTE']
PAINT,PEINT,['PINTAR']
LANGUAGE,LÉNGUÊJ,['LÍNGUA']
AMONG,ÂMÂNG,['ENTRE']
GRAND,GRÉND,['GRANDIOSO']
BALL,BÓL,['BOLA']
YET,YET,"['AINDA, JÁ']"
WAVE,UEIV,['ONDA']
DROP,DRAP,['GOTA']
HEART,RRÓRT,['CORAÇÃO']
AM,ÉM,"['SOU, ESTOU']"
PRESENT,PREZÂNT,['PRESENTE']
HEAVY,RREVI,['PESADO']
DANCE,DÉNS,['DANÇA']
ENGINE,ENJÂN,['MOTOR']
POSITION,PÂZÊSHÃN,['POSIÇÃO']
ARM,ARM,['BRAÇO']
WIDE,UAID,['AMPLO']
SAIL,SEIL,['VELA(NAVIO)']
MATERIAL,MÂTIIRIÂL,['MATERIAL']
SIZE,SAIZ,['TAMANHO']
VARY,VÉRI,['VARIAR']
SETTLE,SETTÂL,['ESTABELECER']
SPEAK,SPIIK,['FALAR']
WEIGHT,UEIT,['PESO']
