PALAVRA,PRONUNCIA,TRADUCAO
GENERAL,JENRAL,"['GENERAL, GERAL']"
ICE,AIS,['GELO']
MATTER,MÉTTÂR,"['MATÉRIA, IMPORTAR-SE']"
CIRCLE,SÂRKÂL,['CÍRCULO']
PAIR,PÉR,['PAR']
INCLUDE,ÊNCLUD,['INCLUIR']
DIVIDE,DÊVAID,['DIVIDIR']
SYLLABLE,SÊLÂBÂL,['SÍLABA']
FELT,FEÓLT,['SENTIDO']
PERHAPS,PÂRHÉPPS,['TALVEZ']
PICK,PÊK,"['ESCOLHER, APANHAR']"
SUDDEN,SÂDÂN,['IMPREVISTO']
COUNT,CAUNT,"['CONTAR, CONTAGEM, CONDE']"
SQUARE,SQUÉR,"['QUADRADO, PRAÇA']"
REASON,RIIZÂN,['RAZÃO']
LENGTH,LENTH,['COMPRIMENTO']
REPRESENT,REPRÊZENT,['REPRESENTAR']
ART,ART,['ARTE']
SUBJECT,SÂBJÊKT,"['SUJEITO, ASSUNTO']"
REGION,RIIJÂN,['REGIÃO']
ENERGY,ENÂRJI,['ENERGIA']
HUNT,RRÂNT,['CAÇAR']
PROBABLE,PRABÂBÂL,['PROVÁVEL']
BED,BED,['CAMA']
BROTHER,BRÂDHÂR,['IRMÃO']
EGG,EG,['OVO']
RIDE,RAID,['PASSEIO']
CELL,CEÓL,"['CELA, CÉLULA']"
BELIEVE,BÊLIIV,['ACREDITAR']
FRACTION,FRÉCSHÂN,['FRAÇÃO']
FOREST,FÓRÂST,['FLORESTA']
SIT,SÊT,['SENTAR']
RACE,REIS,"['RAÇA, CORRIDA']"
WINDOW,UÊNDOU,['JANELA']
STORE,STÓR,['ARMAZÉM']
SUMMER,SÂMÂR,['VERÃO']
TRAIN,TRÊIN,"['TREM, TREINAR']"
SLEEP,SLIIP,['DORMIR']
PROVE,PRUUV,['PROVAR']
LONE,LOUN,['SÓ']
LEG,LEG,['PERNA']
EXERCISE,EKSÂRSAIZ,['EXERCÍCIO']
WALL,UÓL,['PAREDE']
CATCH,KÉTCH,['PEGAR']
MOUNT,MAUNT,"['MONTE, MONTAR']"
WISH,UÊSH,['DESEJO']
SKY,SKAI,['CÉU']
BOARD,BÓRD,['QUADRO']
JOY,JÓI,['ALEGRIA']
WINTER,UÊNTTÂR,['INVERNO']
SAT,SÉT,['SENTADO']
WRITTEN,RÊTÂN,['ESCRITO']
WILD,UAILD,['SELVAGEM']
INSTRUMENT,ÊNSTRÂMÂNT,['INSTRUMENTO']
KEPT,KEPT,['GUARDADO']
GLASS,GLÉS,['VIDRO']
GRASS,GRÉS,['GRAMA']
COW,CAU,['VACA']
JOB,JÁB,"['TRABALHO, JÓ']"
EDGE,EJ,['CANTO']
SIGN,SAIN,['SINAL']
VISIT,VÊZÂT,['VISITA']
PAST,PÉST,['PASSADO']
SOFT,SAFT,['MACIO']
FUN,FÂN,['ALEGRIA']
BRIGHT,BRAIT,['CLARO']
GAS,GHÉS,"['GÁS, GASOLINA']"
WEATHER,UEDHÂR,['TEMPO']
MONTH,MÂNT,['MÊS']
MILLION,MÊLIÂN,['MILHÃO']
BEAR,BÉR,"['URSO, CARREGAR']"
FINISH,FÊNISH,"['FIM, FINALIZAR']"
HAPPY,RRÉPI,['FELIZ']
HOPE,RROUP,['ESPERANÇA']
FLOWER,FLAUÂR,['FLOR']
CLOTHE,CLOUDH,['VESTIR']
STRANGE,STREINDJ,['ESTRANHO']
GONE,GÓN,['IDO']
JUMP,JÂMP,['PULAR']
BABY,BEIBI,['BEBÊ']
EIGHT,EIT,['OITO']
VILLAGE,VÊLÂJ,['VILA']
MEET,MIIT,['ENCONTRAR']
ROOT,RUUT,['RAIZ']
BUY,BAI,['COMPRAR']
RAISE,REIZ,['LEVANTAR']
SOLVE,SOULV,['RESOLVER']
METAL,METTÂL,['METAL']
WHETHER,UEDHÂR,['SE']
PUSH,PÔSH,"['EMPURRAR, INICIATIVA']"
SEVEN,SEVÂN,['SETE']
PARAGRAPH,PÉRÂGRÉF,['PARÁGRAFO']
THIRD,THÂRD,['TERCEIRO']
SHALL,SHÉL,['VAI']
HELD,RRELD,['GUARDADO']
HAIR,RRÉR,['CABELO']
DESCRIBE,DÊCRAIB,['DESCREVER']
COOK,CÔK,['COZINHAR']
FLOOR,FLÓR,"['CHÃO, DERROTAR']"
EITHER,AIDHÂR,"['UM, OU OUTRO, TAMBÉM']"
RESULT,RÊZÂLT,['RESULTADO']
BURN,BÂRN,['QUEIMAR']
HILL,RRÊL,['COLINA']
SAFE,SEIF,"['SEGURO, COFRE']"
CAT,KÉT,['GATO']
CENTURY,CENTRI,['SÉCULO']
CONSIDER,CÂNSÊDÂR,['CONSIDERAR']
TYPE,TAIP,"['TIPO, DATILOGRAFAR']"
LAW,LÓ,['LEI']
BIT,BÊT,"['POUCO, BROCA']"
COAST,COUST,"['COSTA, LITORAL']"
COPY,CAPI,['COPIAR']
PHRASE,FREIZ,['FRASE']
SILENT,SAILÂNT,['SILENCIO']
TALL,TÓL,['ALTO(PESSOA)']
SAND,SÉND,['AREIA']
SOIL,SÓIL,['SOLO']
ROLL,RÔL,"['GIRO, LISTA']"
TEMPERATURE,TEMPRÂCHÂR,['TEMPERATURA']
FINGER,FÊNGÂR,['DEDO']
INDUSTRY,ÊNDÂSTRI,['INDÚSTRIA']
VALUE,VÉLIU,['VALOR']
FIGHT,FAIT,['LUTA']
LIE,LAI,"['DEITAR, MENTIR']"
BEAT,BIIT,['BATER']
EXCITE,IKSAIT,['INSTIGAR']
NATURAL,NÉTCHÂRÂL,['NATURAL']
VIEW,VIU,['VISTA']
SENSE,SENS,['SENTIDO']
EAR,IIR,"['ORELHA, ESPIGA']"
ELSE,ELS,['OUTRO']
QUITE,QUAIT,['MUITO']
BROKE,BROUK,['QUEBRADO']
CASE,KEIS,"['CASO, EMBALAGEM']"
MIDDLE,MÊDÂL,['MEIO']
KILL,KÊL,['MATAR']
SON,SÂN,['FILHO']
LAKE,LEIK,['LAGO']
MOMENT,MOUMÂNT,['MOMENTO']
SCALE,SKEIL,"['ESCADA, ESCALA, ESCAMA']"
LOUD,LAUD,['ALTO(SOM)']
SPRING,SPRÊNG,"['PRIMAVERA, MOLA']"
OBSERVE,ÂBZÂRV,['OBSERVAR']
CHILD,TCHAILD,['CRIANÇA']
STRAIGHT,STREIT,['RETO']
CONSONANT,CANSÂNÂNT,['CONSOANTE']
NATION,NEISHÂN,['NAÇÃO']
DICTIONARY,DÊKSHÂNÂRI,['DICIONÁRIO']
MILK,MÊLK,['LEITE']
SPEED,SPIID,['VELOCIDADE']
METHOD,MÉTHÂD,['MÉTODO']
ORGAN,ÓRGÂN,['ÓRGÃO']
PAY,PEI,['PAGAR']
AGE,EIJ,['IDADE']
SECTION,SEKSHÂN,['SEÇÃO']
DRESS,DRES,['VESTIDO']
CLOUD,CLAUD,['NUVEM']
SURPRISE,SÂRPRAIZ,['SURPRESA']
QUIET,QUAIT,['QUIETO']
STONE,STOUN,['PEDRA']
TINY,TAINI,['MINÚSCULO']
CLIMB,CLAIM,['ESCALAR']
COOL,CUUL,['FRIO']
DESIGN,DÊZAIN,['DESENHO']
POOR,PÔR,['POBRE']
LOT,LÓT,"['MUITO, LOTE']"
EXPERIMENT,EKSPERÂMÂNT,['EXPERIMENTO']
BOTTOM,BATTÂM,['BAIXO']
KEY,KII,['CHAVE']
IRON,AIRN,['FERRO']
SINGLE,SÊNGÂL,"['SÓ, SOLTEIRO']"
STICK,STÊK,"['VARETA, FINCAR']"
FLAT,FLÉT,"['ACHATADO, PLANO']"
TWENTY,TUENTI,['VINTE']
SKIN,SKÊN,['PELE']
SMILE,SMAIL,['SORRISO']
CREASE,CRIIS,['RUGA']
HOLE,RROUL,['BURACO']
TRADE,TREID,['COMÉRCIO']
MELODY,MELÂDI,['MELODIA']
TRIP,TRÊP,"['VIAJAR, PASSEIO']"
OFFICE,AFÂS,"['ESCRITÓRIO, FUNÇÃO']"
RECEIVE,RICIIV,['RECEBER']
ROW,ROU,"['REMAR, FILA']"
MOUTH,MAUTH,['BOCA']
EXACT,IGZÉCT,['EXATO']
SYMBOL,SÊMBÂL,['SÍMBOL']
DIE,DAI,['MORRER']
LEAST,LIIST,['MENOS']
TROUBLE,TRÂBÂL,['PREOCUPAÇÃO']
SHOUT,SHAUT,['GRITAR']
EXCEPT,ÊKSCEPT,['EXCETO']
WROTE,ROUT,['ESCRITO']
SEED,SIID,['SEMENTE']
TONE,TOUN,['TOM']
JOIN,JOIN,['JUNTAR']
SUGGEST,SÂGJEST,['SUGERIR']
CLEAN,CLIIN,['LIMPO']
BREAK,BREIK,['QUEBRAR']
LADY,LEIDI,['DAMA']
YARD,YARD,"['JARDA, QUINTAL']"
RISE,RAIZ,['LEVANTAR']
BAD,BÉD,['MAL']
BLOW,BLOU,['ASSOPRAR']
OIL,OIL,"['ÓLEO, PETRÓLEO']"
BLOOD,BLÂD,['SANGUE']
TOUCH,TÂTCH,['TOCAR']
GREW,GRUU,['CRESCIDO']
CENT,CENT,['CENTAVO']
MIX,MÊKS,['MISTURA']
TEAM,TIIM,['GRUPO']
WIRE,UAIR,['ARAME']
COST,CÓST,['CUSTO']
LOST,LÓST,['PERDIDO']
BROWN,BRAUN,['MARROM']
WEAR,UÉR,['USAR']
GARDEN,GARDÂN,['JARDIM']
EQUAL,IIQUÂL,['IGUAL']
SENT,SENT,['ENVIADO']
CHOOSE,TCHUUZ,['ESCOLHER']
FELL,FEL,['CAIDO']
FIT,FÊT,['AJUSTADO']
FLOW,FLOU,"['CORRER, CORRENTE']"
FAIR,FÉR,"['FEIRA, CLARO']"
BANK,BÉNK,['BANCO']
COLLECT,CÂLECT,"['RECOLHER, PAGAR']"
SAVE,SEIV,['SALVAR']
CONTROL,CÂNTROUL,['CONTROLE']
DECIMAL,DÊSÊMÂL,['DECIMAL']
GENTLE,JENTÂL,['GENTIL']
WOMAN,UÔMÂN,['MULHER']
CAPTAIN,KÉPTÂN,['CAPITÃO']
PRACTICE,PRÉCTTÂS,['PRÁTICA']
SEPARATE,SEPÂRÂT,['SEPARADO']
DIFFICULT,DÊFÊCÂLT,['DIFÍCIL']
DOCTOR,DACTÂR,['DOUTOR']
PLEASE,PLIIZ,"['POR-FAVOR, AGRADAR']"
PROTECT,PRÂTECT,['PROTEGER']
NOON,NUUN,['MEIO-DIA']
WHOSE,RRUUZ,['CUJO']
LOCATE,LOUKEIT,['LOCALIZAR']
RING,RÊNG,"['ANEL, TOCAR']"
CHARACTER,KÉRÊKTÂR,"['CARÁTER, PERSONAGEM']"
INSECT,ÊNSECT,['INSETO']
CAUGHT,CÓT,['PEGO']
PERIOD,PÊRIIÂD,['PERÍODO']
INDICATE,ÊNDÊKEIT,['INDICAR']
RADIO,REIDIIOU,['RÁDIO']
SPOKE,SPOUK,"['FALADO, RAIO']"
ATOM,ÉTÂM,['ÁTOMO']
HUMAN,RRIUMÂN,['HUMANO']
HISTORY,RRÊSTÂRI,['HISTÓRIA']
EFFECT,ÊFECT,['EFEITO']
ELECTRIC,ÊLEKTRÊK,['ELÉTRICO']
EXPECT,IKSPEKT,['ESPERAR']
CROP,CRAP,['COLHEITA']
MODERN,MADÂRN,['MODERNO']
ELEMENT,ELÊMÂNT,['ELEMENTO']
HIT,RRÊT,['ACERTAR']
STUDENT,STUUDÂNT,['ESTUDANTE']
CORNER,CÓRNÂR,['ESQUINA']
PARTY,PARTY,"['PARTIDO, FESTA']"
SUPPLY,SÂPLAI,['SUPRIR']
BONE,BOUN,['OSSO']
RAIL,REIL,"['GRADE, TRILHO']"
IMAGINE,ÊMÉDJÂN,['IMAGINAR']
PROVIDE,PRÂVAID,['FORNECER']
AGREE,ÂGRII,['CONCORDAR']
THUS,DHÂS,['ASSIM']
CAPITAL,KÉPÊTÂL,['CAPITAL']
WON'T,UOUNT,['NÃO-VAI']
CHAIR,TCHÉR,['CADEIRA']
DANGER,DEINDJÂR,['PERIGO']
FRUIT,FRUUT,['FRUTA']
RICH,RÊTCH,['RICO']
THICK,THÊK,['GROSSO']
SOLDIER,SOULDJÃR,['SOLDADO']
PROCESS,PROUCES,['PROCESSO']
OPERATE,APÂREIT,['OPERAR']
GUESS,GHES,['ADIVINHAR']
NECESSARY,NESÂSÉRI,['NECESSÁRIO']
SHARP,SHARP,"['AGUDO, SUSTENIDO']"
WING,UÊNG,['ASA']
CREATE,CRIEIT,['CRIAR']
NEIGHBOR,NEIBÂR,['VIZINHO']
WASH,UÓSH,['LAVAR']
BAT,BÉT,"['MORCEGO, BASTÃO']"
RATHER,RAADHÂR,['DE-PREFERÊNCIA']
CROWD,CRAUD,['MULTIDÃO']
CORN,CÓRN,['MILHO']
COMPARE,CÂMPÉR,['COMPARAR']
POEM,POUÊM,['POEMA']
STRING,STRÊNG,['CORDA']
BELL,BEÓL,['SINO']
DEPEND,DÊPEND,['DEPENDER']
MEAT,MIIT,['CARNE']
RUB,RÂB,['ESFREGAR']
TUBE,TUUB,"['TUBO, TV']"
FAMOUS,FEIMÂS,['FAMOSO']
STREAM,STRIIM,['CORRENTE']
FEAR,FIIR,"['MEDO, TEMER']"
THIN,THÊN,"['FINO, MAGRO']"
TRIANGLE,TRAIÉNGÂL,['TRIÂNGULO']
PLANET,PLÉNÂT,['PLANETA']
HURRY,RRÂRI,['PRESSA']
CHIEF,CHIIF,['CHEFE']
CLOCK,CLAK,['RELÓGIO']
MINE,MAIN,"['MEU, MINA']"
TIE,TAI,['AMARRAR']
ENTER,ENTTÂR,['ENTRAR']
MAJOR,MEIDJÂR,"['MAIOR, MAJOR']"
FRESH,FRESH,['FRESCO']
SEARCH,SÂRTCH,['BUSCAR']
SEND,SEND,['ENVIAR']
YELLOW,YELOU,['AMARELO']
GUN,GÂN,['ARMA']
ROSE,ROUZ,"['ROSA, LEVANTADO']"
ALLOW,ÂLAU,['PERMITIR']
PRINT,PRÊNT,['IMPRIMIR']
DEAD,DED,['MORTO']
SPOT,SPAT,['PONTO']
DESERT,DÊZÂRT,['DESERTO']
SUIT,SUUT,['TERNO']
CURRENT,CÂRÂNT,['ATUAL']
LIFT,LÊFT,['LEVANTAR']
CONTINUE,CÂNTÊNIU,['CONTINUAR']
BLOCK,BLAK,['BLOCO']
CHART,TCHART,['GRÁFICO']
HAT,RRÉT,['CHAPÉU']
SELL,SEL,['VENDER']
SUCCESS,SÂKSES,['SUCESSO']
COMPANY,CÂMPÂNI,"['COMPANHIA, EMPRESA']"
SUBTRACT,SÂBTRÉCT,['SUBTRAIR']
EVENT,IVENT,['EVENTO']
PARTICULAR,PARTÊKIÂLAR,['ESPECIAL']
DEAL,DIIL,['NEGÓCIO']
TERM,TÂRM,"['TERMO, PERÍODO']"
OPPOSITE,APÂZÂT,['OPOSTO']
WIFE,UAIF,['ESPOSA']
SHOE,SHUU,['SAPATO']
SHOULDER,SHOULDÂR,['OMBRO']
SPREAD,SPRED,['ESPALHAR']
ARRANGE,ÂREINDJ,['ARRANJAR']
CAMP,KÉMP,['CAMPO']
INVENT,ÊNVENT,['INVENTAR']
COTTON,CATÂN,['ALGODÃO']
BORN,BÓRN,['NASCIDO']
DETERMINE,DÊTÂRMÂN,['DETERMINAR']
QUART,QUÓRT,['QUARTO(MEDIDA)']
NINE,NAIN,['NOVE']
TRUCK,TRÂK,['CAMINHÃO']
NOISE,NÓIZ,['BARULHO']
LEVEL,LEVÂL,['NÍVEL']
CHANCE,TCHÉNS,"['CHANCE, ACASO']"
GATHER,GHÉDHÂR,['JUNTAR']
SHOP,SHAP,['LOJA']
STRETCH,STRETCH,['ALCANCE']
THROW,THROU,['ARREMESSAR']
SHINE,SHAIN,['BRILHAR']
PROPERTY,PRAPÂTTI,['PROPRIEDADE']
COLUMN,CALÂM,['COLUNA']
MOLECULE,MALÊKIUL,['MOLÉCULA']
SELECT,SÊLECT,['SELECIONAR']
WRONG,RÓNG,['ERRADO']
GRAY,GREI,['CINZA']
REPEAT,RÊPIIT,['REPETIR']
REQUIRE,RÊQUAIR,['EXIGIR']
BROAD,BRÓD,['AMPLO']
PREPARE,PRÊPÉR,['PREPARAR']
SALT,SÓLT,['SAL']
NOSE,NOUZ,['NARIZ']
PLURAL,PLÔRÂL,['PLURAL']
ANGER,ÉNGÂR,['RAIVA']
CLAIM,CLEIM,['CLAMAR']
CONTINENT,CANTÂNÂNT,['CONTINENTE']
OXYGEN,AKSÊDJÂN,['OXIGÊNIO']
SUGAR,SHUUGÂR,['AÇÚCAR']
DEATH,DETH,['MORTE']
PRETTY,PRÊTI,"['BELO, MUITO']"
SKILL,SKÊL,['HABILIDADE']
WOMEN,UÊMÂN,['MULHERES']
SEASON,SEEZÂN,['ESTAÇÃO']
SOLUTION,SÂLUSHÂN,['SOLUÇÃO']
MAGNET,MÉGNÂT,['IMÃ']
SILVER,SÊLVÃR,['PRATA']
THANK,THÉNK,['AGRADECER']
BRANCH,BRÉNCH,['GALHO']
MATCH,MÉTCH,"['COMPETIÇÃO, FÓSFORO']"
SUFFIX,SÂFÊKS,['SUFIXO']
ESPECIALLY,ÊSPESHÂLI,['ESPECIALMENTE']
FIG,FÊG,['FIGO']
AFRAID,ÂFREID,['COM-MEDO']
HUGE,RRIUDJ,"['GRANDE, ENORME']"
SISTER,SÊSTÂR,['IRMÃ']
STEEL,STIIL,['AÇO']
DISCUSS,DÊSCÂS,['DISCUTIR']
DOLLAR,DALÂR,['DÓLAR']
FORWARD,FÓRUÂRD,"['ADIANTE, PASSAR ADIANTE']"
SIMILAR,SÊMÂLÃR,['SEMELHANTE']
GUIDE,GAID,"['GUIA, GUIAR']"
EXPERIENCE,ÊKSPIIRIÂNS,['EXPERIÊNCIA']
SCORE,SCÓR,"['PLACAR, DUAS-DEZENAS']"
APPLE,ÉPÂL,['MAÇÃ']
BOUGHT,BÓT,['COMPRADO']
LED,LED,['LEVADO']
COLONY,CALÂNI,['COLONIA']
PITCH,PÊTCH,"['PICHE, ARREMEÇO']"
COAT,COUT,['CASACO']
MASS,MÉS,"['MASSA, MISSA']"
CARD,CARD,['CARTÃO']
BAND,BÉND,['BANDA']
ROPE,ROUP,['CORDA']
SLIP,SLÊP,['ESCORREGAR']
WIN,UÊN,['GANHAR']
DREAM,DRIIM,['SONHO']
EVENING,IIVNÊNG,['NOITE']
CONDITION,CÂNDÊSHÂN,['CONDIÇÃO']
FEED,FIID,['ALIMENTAR']
TOOL,TUUL,['FERRAMENTA']
TOTAL,TOUTÃL,['TOTAL']
BASIC,BEISÊK,['BÁSICO']
SMELL,SMEL,['CHEIRO']
VALLEY,VÉLI,['VALE']
NOR,NÓR,['NEM']
DOUBLE,DÂBÂL,['DOBRO']
SEAT,SIIT,['ASSENTO']
ARRIVE,ÂRAIV,['CHEGAR']
MASTER,MÉSTÂR,['MESTRE']
TRACK,TRÉK,['TRILHA']
PARENT,PÉRÂNT,['PAIS']
SHORE,SHÓR,['PRAIA']
DIVISION,DÊVÊZHÂN,['DIVISÃO']
SHEET,SHIIT,"['FOLHA, LENÇOL']"
SUBSTANCE,SÂBSTÂNS,['SUBSTÂNCIA']
FAVOR,FEIVÂR,"['FAVOR, FAVORECER']"
CONNECT,CÂNECT,['CONECTAR']
POST,POAST,"['PÓS, POSTO']"
SPEND,SPEND,['GASTAR']
SWIM,SUÊM,['NADAR']
CHORD,CÓRD,['ACORDE']
FAT,FÉT,['GORDO']
GLAD,GLÉD,['CONTENTE']
ORIGINAL,ÂRÊDJÂNÂL,['ORIGINAL']
SHARE,SHÉR,['PARTE']
STATION,STEISHÂN,['ESTAÇÃO']
DAD,DÉD,['PAPAI']
BREAD,BRÉD,['PÃO']
CHARGE,CHARDJ,"['CARGA, COBRANÇA']"
PROPER,PRAPÂR,['PRÓPRIO']
BAR,BAR,"['BAR, BARRA']"
OFFER,AFÊR,['OFERECER']
SEGMENT,SEGMÂNT,['SEGMENTO']
SLAVE,SLEIV,['ESCRAVO']
DUCK,DÂK,"['PATO, MERGULHAR']"
INSTANT,ÊNSTÂNT,['INSTANTE']
MARKET,MARKÂT,['MERCADO']
DEGREE,DÊGRII,['GRAU']
POPULATE,PAPIÂLEIT,['POVOAR']
CHICK,TCHÊK,['PINTINHO']
DEAR,DIIR,['QUERIDO']
ENEMY,ENÂMI,['INIMIGO']
REPLY,RÊPLAI,['RESPOSTA']
DRINK,DRÊNK,['BEBIDA']
OCCUR,ÂCÂR,['OCORRER']
SUPPORT,SÂPÓRT,['APOIAR']
SPEECH,SPIITCH,['DISCURSO']
NATURE,NEITCHÂR,['NATUREZA']
RANGE,REINDJ,"['ALCANCE, PASTAGEM']"
STEAM,STIIM,['VAPOR']
MOTION,MOUSHÂN,['MOVIMENTO']
PATH,PÉTH,['CAMINHO']
LIQUID,LÊQUÂD,['LÍQUIDO']
LOG,LÓG,"['LENHA, DIÁRIO']"
MEANT,MENT,['SIGNIFICADO']
QUOTIENT,QUOSHÂNT,['QUOCIENTE']
TEETH,TIITH,['DENTES']
SHELL,SHEL,['CONCHA']
NECK,NEK,['PESCOÇO']
DESSERT,DÊSSÂRT,['SOBREMESA']
